gene,chromosome,start_position,end_position
PHF19,9,120855651,120894896
MCOLN3,1,85018082,85048679
ENO3,17,4948046,4957132
HOXB13,17,48724763,48728750
ZNF221,19,43951204,43967709
BRD1,22,49773278,49827944
SIRT6,19,4174109,4182599
BATF2,11,64987945,64997018
HPGD,4,174490175,174523154
RNF181,2,85595693,85598589
RFNG,17,82047902,82051831
TUBB3,16,89921392,89938761
UBQLN1,9,83657386,83707993
VMO1,17,4785285,4786433
COX7B2,4,46734827,46909245
ZNF589,3,48241100,48299253
IGF1R,15,98648539,98964530
CD2,1,116754370,116769229
ATP2B2,3,10324023,10708007
H3Y1,5,17654868,17655849
SREBF1,17,17810399,17837030
DNAJC7,17,41976421,42021376
MRAP2,6,84033203,84090887
GABRA5,15,26866911,26949208
POU4F1,13,78598362,78603552
SYCE1,10,133553901,133569835
KRT32,17,41459513,41467386
DPCD,10,101570560,101609664
TXN2,22,36466895,36482072
DEFB108B,11,71833200,71837710
PPP1R7,2,241149576,241183652
HDAC4,2,239048168,239401661
DHODH,16,72008588,72027664
BLZF1,1,169367970,169396540
IL17D,13,20702127,20723099
PARD6G,18,80157232,80247514
TARP,7,38259643,38273636
ENPP6,4,184088706,184221230
PRKCE,2,45651205,46187990
PLIN5,19,4522531,4535247
STK36,2,218672052,218702717
COX6B1,19,35648230,35658795
CEP44,4,174283295,174333380
PADI4,1,17308195,17364004
CD99,Y,2690988,2741312
KLHL32,6,96924620,97140756
PRKAB2,1,147155106,147173716
SDC2,8,96493410,96611790
STIP1,11,64185272,64204548
SOX6,11,15966449,16739591
ELAVL3,19,11451326,11481051
MEIS1,2,66433452,66573898
ZNF546,19,39984134,40021038
ABI3BP,3,100749155,100993515
DCAKD,17,45023338,45061131
SHOC1,9,111686171,111795008
ERVV-2,19,53044740,53051680
MC2R,18,13882043,13915707
KAT7,17,49788624,49835026
NPRL3,16,83205,138716
CROCC,1,16740273,16972964
UPK2,11,118925164,118958559
RIN2,20,19757606,20003571
REEP2,5,138438988,138446969
CHRNA3,15,78593052,78621295
F2RL2,5,76615482,76623413
NPW,16,2009926,2020755
NELFB,9,137255327,137273542
ZNF383,19,37217926,37248740
MOCS1,6,39899578,39934551
TLCD3A,17,732412,742968
PRKAA2,1,56645314,56715335
FUT8,14,65410592,65744125
C8orf34,8,68330669,68819023
CCL4,17,36103827,36105621
FAM124B,2,224376821,224402107
DVL1,1,1335276,1349945
ALG12,22,49900229,49918458
OTUD6B,8,91070196,91087095
PDE2A,11,72576141,72674591
LAMP3,3,183122200,183163839
HTT,4,3041363,3243957
DNAL4,22,38778508,38794198
NRN1,6,5997999,6008688
NRROS,3,196639694,196662004
MMADHC,2,149569634,149587812
NR1I2,3,119780484,119818487
TIMMDC1,3,119498515,119525090
AP2M1,3,184174689,184184214
YIPF6,X,68498562,68537282
RBBP9,20,18486540,18497234
LYNX1,8,142771197,142777859
GNG14,19,12687998,12688422
SAMD15,14,77376689,77392163
PLAAT1,3,193240620,193277738
MFSD11,17,76735865,76781449
CCAR1,10,68721012,68792377
MPV17,2,27309486,27325680
FBXO25,8,406428,477967
PHACTR3,20,59577495,59847711
SMOC2,6,168440656,168673445
GYPC,2,126655938,126696667
PPIAL4G,1,148482548,148483302
FBH1,10,5890203,5937594
USP17L21,4,9262872,9264464
CCDC32,15,40528683,40565054
TTLL8,22,50018575,50058298
CROT,7,87345664,87399800
YIPF3,6,43511821,43516985
ZNF614,19,52012765,52030240
CHD3,17,7884796,7912760
PRAM1,19,8490056,8502647
NXPH4,12,57216794,57226449
MRO,18,50795120,50825449
OPTC,1,203494121,203508949
IGFN1,1,201190824,201228952
TRPC4AP,20,34995209,35092868
CYB5RL,1,54169651,54200073
KRTAP9-8,17,41237999,41239004
ANO4,12,100717244,101128648
HTN3,4,70028455,70036538
THAP3,1,6624845,6635586
SLC16A13,17,7036015,7040117
ZBTB33,X,120250752,120259741
JMJD1C,10,63167221,63521850
SLC49A4,3,122795069,122881139
CEP164,11,117314557,117413605
PRAMEF26,1,13148905,13158116
CNNM1,10,99329356,99394330
SLC45A3,1,205657851,205680990
XRCC1,19,43543306,43580473
ZC3H10,12,56118256,56127514
GJB2,13,20187463,20192980
TCHP,12,109900264,109983841
KRTAP5-5,11,1629775,1630930
TNFRSF1B,1,12166977,12209228
HOXD9,2,176122719,176124937
ENTPD2,9,137048107,137054061
KLF7,2,207074137,207173856
SNAPC2,19,7920320,7923250
CASP8,2,201233443,201361836
FCMR,1,206903317,206923247
NOA1,4,56962876,56977623
SERPINA12,14,94487274,94517844
NSA2,5,74766991,74780113
NAGPA,16,5024756,5034141
FZD1,7,91264433,91271326
SLC10A3,X,154487306,154490690
CXCL17,19,42428278,42442996
EVPL,17,76004502,76027438
MLXIPL,7,73593194,73624568
RSPRY1,16,57186137,57240479
LINGO2,9,27937617,29213601
MRGPRX3,11,18120955,18138488
HSFX2,X,149592512,149595314
GUF1,4,44678420,44700928
CNBP,3,129167818,129184008
RRBP1,20,17613678,17682295
MYL9,20,36541490,36551447
POLRMT,19,617168,633572
ZNF417,19,57900296,57916610
SLCO1B1,12,21131120,21241074
PYCR1,17,81932378,81942412
CDKL1,14,50326265,50416461
GGCT,7,30496620,30504850
LEFTY2,1,225936598,225941383
SLN,11,107707375,107719696
SLC27A6,5,128538013,129036767
ZPBP2,17,39868202,39877896
HINT2,9,35812960,35815354
GTPBP3,19,17334920,17342735
TNFSF10,3,172505508,172523476
LOX,5,122063195,122078634
CTSW,11,65879809,65883741
GPX6,6,28503296,28528215
DYTN,2,206651621,206721570
KBTBD12,3,127915207,127989100
CPT1A,11,68754620,68844410
TBC1D3,17,38181659,38194017
OR5AC2,3,98087173,98088102
MEST,7,130486171,130506465
GOLGA6L22,15,22458903,22469226
SHB,9,37915898,38069227
LLCFC1,7,142939343,142940868
H3C4,6,26195164,26197286
SLC7A8,14,23125295,23183674
NEUROG1,5,135534282,135535964
ARFGEF1,8,67173511,67343961
KLC2,11,66257294,66267860
MOSPD1,X,134887613,134915470
HOPX,4,56647989,56681877
SYCP2,20,59863564,59933655
FAM131A,3,184335926,184348421
ZNF256,19,57940833,57947706
FPR3,19,51795137,51826324
PARD6B,20,50731382,50756795
SLC25A28,10,99610518,99622793
SLIRP,14,77708045,77761104
ZFAND4,10,45613375,45673047
RPL6,12,112405170,112418844
XRCC4,5,83077498,83353787
C14orf93,14,22985894,23010529
ADPRM,17,10697594,10711558
KRT2,12,52644558,52652211
PAX3,2,222199887,222298998
CDK5RAP3,17,47967810,47981781
ZNF565,19,36181542,36246257
SMIM15,5,61157704,61163142
LIG4,13,108207439,108218368
NGB,14,77265483,77271206
TLCD2,17,1702816,1710377
HMMR,5,163460203,163491945
NCOA4,10,46005085,46030669
ALDH5A1,6,24494798,24537207
ZNF561,19,9604680,9622601
AFP,4,73431138,73456174
GVQW3,11,76381303,76414619
SRPK2,7,105110704,105399308
HK2,2,74834079,74893359
ARAP1,11,72683204,72793599
GPR173,X,53048789,53080615
CAB39L,13,49308629,49444342
ROM1,11,62611722,62615116
PIANP,12,6693791,6700848
HADHB,2,26243170,26290467
ANKRD49,11,94493979,94499583
UBE2K,4,39698109,39782792
RELL1,4,37590800,37686413
OR11A1,6,29425504,29457071
WASF1,6,110099817,110180019
SORBS3,8,22544986,22575788
DRAP1,11,65919274,65921563
SYNGR3,16,1989660,1994275
NMT1,17,44957992,45109016
EPN1,19,55675109,55709858
SLC12A8,3,125082636,125213229
COL4A2,13,110305812,110513209
ZNF679,7,64228474,64266931
TPD52L2,20,63865228,63891545
ICMT,1,6221193,6235972
NMUR1,2,231523187,231530445
SLC44A4,6,31863192,31879198
COL27A1,9,114155537,114312511
DPH5,1,100989623,101026110
CHGB,20,5911394,5925361
RTL4,X,112082965,112458566
TMPRSS6,22,37065005,37110890
FRG2C,3,75664328,75667220
NANS,9,98056674,98083087
LOXL4,10,98247690,98268650
AURKC,19,57231009,57235551
ZNF805,19,57240632,57262728
LGR6,1,202193692,202319781
UBALD2,17,76265348,76271298
INSL6,9,5123880,5185647
SUPT20HL2,X,24308210,24314069
BCAM,19,44809070,44821421
CEACAM3,19,41796587,41811554
SUN1,7,816591,896435
TECTB,10,112283400,112305038
CFHR1,1,196819314,196837159
OR1E3,17,3116427,3117374
SLC13A2,17,28473275,28497782
ONECUT1,15,52755053,52791078
DUOXA2,15,45114325,45118421
MRPL13,8,120380761,120445402
STK33,11,8391864,8594292
GLTPD2,17,4788964,4790589
ARMH2,6,24797335,24798917
HIP1R,12,122834453,122862961
ZNF250,8,144876497,144902217
JUNB,19,12791486,12793315
USP54,10,73497538,73626117
CUX1,7,101815904,102283958
PFKL,21,44300017,44327377
H3C6,6,26224199,26227473
LAMC2,1,183186057,183245127
POLA1,X,24693864,24996986
CD37,19,49335171,49343335
PRKD1,14,29576479,30191898
FANCL,2,58159243,58241410
SERF2,15,43777087,43804427
WTAP,6,159716432,159756319
NFASC,1,204828651,205022822
RFC1,4,39287456,39366395
RAB13,1,153981617,153986377
HRH3,20,62214960,62220303
GLYAT,11,58640426,58731974
CCNE2,8,94879641,94896678
METTL21C,13,102685747,102695044
SENP5,3,196867856,196934718
CEBPE,14,23117036,23120256
ADGRF4,6,47685864,47722021
KANSL2,12,48653211,48682247
CCR3,3,46130890,46266706
ORC4,2,147930396,148021784
TCP10L,21,32497967,32587373
EIF2B1,12,123620406,123633766
ARHGAP30,1,161046946,161069970
SLC43A3,11,57406954,57429035
DZIP1,13,95578202,95644740
SNRNP40,1,31259568,31296788
DNAJC30,7,73680918,73683453
POLR2E,19,1085104,1095389
DCAF12,9,34086384,34127399
KCNK5,6,39188128,39229559
SNRPN,15,24823637,24978723
ATG16L1,2,233210051,233295674
AARD,8,116938207,116944487
FBXW7,4,152320544,152536107
GLI2,2,120735623,120992653
AFMID,17,78187330,78207703
TMEM106B,7,12211042,12243367
SLC35E3,12,68746125,68793964
PRPF19,11,60890547,60906603
ATM,11,108222804,108369102
API5,11,43311955,43344530
ZNF202,11,123723914,123742513
B9D2,19,41354417,41364165
RBMX,X,136848004,136880764
NDC1,1,53765460,53838560
RETSAT,2,85341954,85354655
OR2A42,7,144228244,144239605
NFE2L1,17,48047889,48061545
TRAF3IP3,1,209756032,209782320
ZBTB39,12,56998836,57006546
OR6C3,12,55330043,55332687
NEURL3,2,96497644,96508153
RHOBTB3,5,95713522,95824383
TSPAN32,11,2301990,2318204
TGFBR3L,19,7914803,7919097
ELF5,11,34478791,34525193
C13orf42,13,51082119,51200252
ZNF649,19,51889233,51905049
ERF,19,42247569,42255131
TFEB,6,41683978,41736259
AAMDC,11,77821100,77918432
UBE2J1,6,89326608,89352902
NAALADL2,3,174438573,175810548
HIPK2,7,139561570,139777998
TMEM239,20,2816302,2820284
AVL9,7,32495426,32588726
PITX3,10,102230189,102241512
ACCS,11,44065916,44084241
ZNF444,19,56132599,56160897
RNF146,6,127266582,127288567
NDUFAF5,20,13785007,13821580
CLMN,14,95181940,95319921
PIK3C2A,11,17077730,17207986
OR14A16,1,247814660,247824119
TMEM268,9,114611206,114646422
ERP44,9,99979185,100099052
PCDH1,5,141853090,141879246
ZBTB7C,18,48026672,48410752
FOXL2NB,3,138947217,138953990
ABHD8,19,17292131,17310236
SLC25A19,17,75272012,75289968
MALL,2,110279604,110287507
BMP2,20,6767686,6780251
NUCKS1,1,205712822,205750270
GLB1L,2,219236598,219245478
TMEM191B,22,18527802,18530573
DOCK9,13,98793429,99086625
LRRC57,15,42537820,42548802
DPM2,9,127935090,127937866
CCNB3,X,50202713,50351914
NR3C1,5,143277931,143435512
ECRG4,2,106063246,106078155
ZMYND12,1,42430329,42456253
WRAP73,1,3630767,3652761
OR5K4,3,98353854,98354819
RANGAP1,22,41244779,41286272
FBXL19,16,30923055,30948783
NFATC1,18,79395856,79529325
UGT2B17,4,68537146,68576413
PNMA1,14,73711783,73714384
SHE,1,154469772,154502472
MYT1L,2,1789113,2331664
NTN1,17,9021210,9244000
SHQ1,3,72749277,72861914
ATP6V0A2,12,123712342,123761755
ZNF384,12,6666477,6689572
CCDC28A,6,138773493,138793319
SETD7,4,139492974,139606699
SPEM1,17,7420324,7421632
GDF11,12,55743122,55757264
ANKRD33,12,51888009,51891727
KCNH2,7,150944064,150978394
TSC2,16,2047345,2089491
APPL1,3,57227726,57278127
INTS14,15,65578753,65611615
PMPCA,9,136410630,136427992
CACNB3,12,48813794,48828941
XKR7,20,31968151,32003387
LYPLAL1,1,219173853,219220700
GAREM2,2,26173088,26189663
INPP4A,2,98444246,98594392
OR12D2,6,29395631,29398008
CORO1B,11,67435510,67443821
GMEB1,1,28668280,28719353
FAM204A,10,118297925,118342331
FECH,18,57544377,57586761
C1S,12,6988259,7071281
ZNF232,17,5105269,5123162
HAUS3,4,2227464,2242133
GCFC2,2,75652000,75711184
MUC13,3,124905440,124953819
PRSS22,16,2852728,2858210
NECAB3,20,33657087,33674463
FAM180B,11,47586207,47589195
MSRB2,10,23095579,23122013
EGF,4,109912883,110013766
WNT9A,1,227918656,227947932
C21orf91,21,17788974,17819386
NID2,14,52004809,52069059
HARBI1,11,46601439,46617909
KRTAP11-1,21,30880644,30881580
ZNF157,X,47370578,47414498
SLC35F3,1,233904676,234324511
MYL7,7,44138864,44143179
RPS3A,4,151099565,151104652
CEBPZ,2,37201570,37231601
OR4X1,11,48263861,48264778
DIPK2B,X,45148373,45200963
LY75,2,159803355,159904756
LAMB1,7,107923715,108004434
CCDC87,11,66590176,66593063
GNAL,18,11689264,11885685
C2orf49,2,105337532,105350712
TIFAB,5,135444226,135452351
OR6C6,12,55293988,55296569
KIF4A,X,70290067,70420886
HOXC4,12,54016931,54056030
SLC15A3,11,60937060,60952653
TRMO,9,97894512,97922525
SNAP25,20,10172395,10308258
PKN1,19,14433053,14471872
SENP2,3,185582496,185633551
RHBDL3,17,32265787,32324663
CEP85,1,26233669,26278814
HEPACAM2,7,93188534,93226559
SEPTIN4,17,58520250,58544368
HTR1F,3,87792704,87993839
REPS2,X,16946658,17153272
ELMO3,16,67199111,67204029
GRAPL,17,19127535,19162274
MFN2,1,11980181,12015211
CRELD1,3,9933793,9945413
LZTR1,22,20982223,20999035
PEX2,8,76980258,77001044
PRKAG2,7,151556117,151877507
NUP58,13,25301524,25365390
RAB30,11,82973133,83071923
OSGEPL1,2,189746415,189763230
OR2AG2,11,6765626,6771976
FAM163A,1,179743291,179817055
ZNF16,8,144930358,144950888
ZNF215,11,6926373,7001004
STOX1,10,68827199,68895432
PABPC4,1,39560709,39576868
SUSD4,1,223220819,223365279
ZNF564,19,12525373,12551542
CEPT1,1,111139479,111185507
TMEM132E,17,34579487,34639318
PLEK2,14,67385652,67412176
ACOT7,1,6264268,6393767
ANO2,12,5531869,5946232
SIAH3,13,45777242,45851753
AVPR2,X,153902531,153907166
TBXA2R,19,3594506,3606895
MYO1E,15,59132434,59372871
RTL8A,X,135050932,135052196
MBOAT4,8,30131671,30144665
BMP15,X,50910735,50916641
PEX14,1,10472288,10630758
VASN,16,4371848,4383538
SNX30,9,112750760,112881671
UNC93B1,11,67991100,68004982
LGALS3,14,55121352,55148022
ADCY6,12,48766191,48789906
ADORA2B,17,15945130,15975746
MALT1,18,58671426,58754477
OR2K2,9,111327229,111330224
CHAF1B,21,36385354,36419015
SMAGP,12,51244558,51270415
ALDH1L2,12,105019784,105107643
ZNF771,16,30407143,30431108
MIGA1,1,77779624,77879540
KIF11,10,92574105,92655395
CRTAM,11,122829482,122872643
MGAT4C,12,85955666,86838904
LAMA4,6,112106077,112254939
REST,4,56907876,56966808
TUBA3C,13,19173772,19181824
PISD,22,31618489,31662239
NSDHL,X,152830967,152869729
VSIG1,X,108044970,108079184
TMPRSS7,3,112034736,112081269
HTD2,3,58306262,58320193
RSRP1,1,25242248,25338244
R3HCC1L,10,98134608,98245624
SRSF6,20,43457893,43466046
HIC2,22,21416504,21451463
DSG3,18,31447741,31478702
DICER1,14,95086228,95158010
ABCA10,17,69147214,69244846
NACA2,17,61590421,61591219
RCN3,19,49526534,49546962
UBR5,8,102250608,102412880
ZNF461,19,36636618,36666853
PIF1,15,64815629,64825677
PRELID2,5,145471799,145835369
PYGB,20,25248030,25298014
DDB1,11,61299447,61342596
SIGLEC15,18,45825675,45844094
UHRF1,19,4903080,4962154
SLC41A2,12,104801801,104958759
ZMYM3,X,71239617,71255269
CILP,15,65194760,65211478
COPS7B,2,231781671,231809254
NUSAP1,15,41320794,41381054
TLL1,4,165873237,166104457
RHOV,15,40872214,40874234
GRK5,10,119207543,119459745
DNAJA2,16,46955362,46973704
GLYATL2,11,58834065,58904215
SIL1,5,138946720,139293557
SPARCL1,4,87473329,87531118
C16orf82,16,27066927,27069166
PAIP1,5,43526267,43557758
RHAG,6,49605175,49636839
TNFRSF12A,16,3018445,3022385
SLC39A5,12,56230039,56238214
RNF223,1,1070967,1074306
TBC1D14,4,6909242,7033118
APH1B,15,63276018,63309126
KDM5D,Y,19703865,19744989
ZMAT2,5,140698680,140706686
SEC61B,9,99222064,99230615
ZNF423,16,49487524,49857919
GLUD2,X,121047610,121050094
ARHGEF9,X,63634967,63809274
IL22RA2,6,137143820,137173648
APOBEC3B,22,38982347,38992804
WHRN,9,114402078,114505525
MAGEB5,X,26216169,26218270
ZBED1,Y,2486414,2502862
TRIM9,14,50975261,51096078
NSFL1C,20,1442162,1473842
C6orf141,6,49550666,49561907
OPN1MW3,X,154257582,154271090
SLC25A36,3,140941801,140980995
COX8A,11,63974620,63976543
C1orf52,1,85249953,85259672
CNTN5,11,99020949,100358885
CD276,15,73683966,73714518
ARHGAP26,5,142770377,143229011
LTN1,21,28928144,28992956
PROKR2,20,5299218,5316954
IDUA,4,986997,1008344
PDE4DIP,1,148808140,149048286
CYP7B1,8,64587763,64799145
TIMP2,17,78852977,78925387
GNL2,1,37566815,37595955
TMC3,15,81331088,81374213
FGFR2,10,121478332,121598458
IYD,6,150368892,150405969
ZNF236,18,76822557,76972901
CRYAA,21,43169008,43172810
PDE10A,6,165327287,165988117
CFAP52,17,9576627,9643447
SGO2,2,200510008,200584096
GJA10,6,89894469,89921760
PRLR,5,35048756,35230533
ATP11C,X,139726346,139945276
MMEL1,1,2590639,2633016
RCC1L,7,75027122,75074228
PLAG1,8,56160909,56211333
CLDN10,13,95433604,95579759
KRT28,17,40792196,40799959
SLCO1A2,12,21264600,21419676
MYOZ3,5,150660450,150680022
SH2D6,2,85418714,85437029
C10orf120,10,122697709,122699846
DNAH14,1,224896262,225399292
GGA2,16,23462213,23521995
ZNF684,1,40531573,40548168
CDCA7L,7,21899974,21946219
CEP97,3,101724534,101770562
CMYA5,5,79689777,79800607
MRPL35,2,86199355,86213790
SCYL2,12,100266830,100341728
ZMYND11,10,130088,254638
SELPLG,12,108620413,108633894
DCAF4,14,72926358,72962098
SMIM35,11,118003634,118088299
TCL1B,14,95686397,95692638
RBM3,X,48574056,48581162
PSTPIP1,15,76993325,77037475
MROH2B,5,40998017,41071342
SIAH1,16,48356364,48448402
SHISA4,1,201888679,201892587
SLC22A9,11,63369725,63410881
PIDD1,11,799179,809753
BRWD1,21,39184176,39321559
DENND3,8,141117278,141195808
FBXO8,4,174236658,174283676
MRFAP1,4,6640091,6642729
LIPM,10,88802730,88820546
PTPN18,2,130356027,130375405
NOD1,7,30424527,30478789
RAPGEF5,7,22118236,22357154
SLC4A4,4,71062667,71572087
ANKRD37,4,185396021,185400628
CXorf49,X,71714371,71718285
RCL1,9,4792944,4885917
G6PD,X,154517825,154547584
TPSB2,16,1227272,1233725
WIPF2,17,40218743,40284136
PRSS51,8,10482878,10547624
PSMB4,1,151399556,151401941
MYT1,20,64102222,64242253
RNF225,19,58395656,58397079
TULP1,6,35497874,35512896
COPS8,2,237085882,237100474
TRERF1,6,42224931,42452224
GLT1D1,12,128853427,128984968
C20orf204,20,64034344,64039962
MATN3,2,19992052,20012669
SLC18B1,6,132769370,132813339
ADRB2,5,148826611,148828623
ISLR2,15,74100311,74138540
MED17,11,93784227,93814963
GINM1,6,149566206,149591748
PER3,1,7784291,7845181
BRF1,14,105209277,105315589
ZNF524,19,55599714,55603138
DCAF8L1,X,27977992,27981449
KRT35,17,41476710,41481151
ZNF362,1,33256359,33300719
OR1G1,17,3126610,3127551
PDE4A,19,10416773,10469630
METTL21A,2,207580631,207626256
CBLIF,11,59829273,59845499
GNAI1,7,79768028,80226181
ZNF626,19,20619939,20661596
OR52K2,11,4449295,4450361
TRIM58,1,247857187,247880138
ARRB1,11,75260122,75351791
SLC35D1,1,66999350,67054159
REXO5,16,20806157,20849668
NDUFC2,11,78068297,78081871
RAVER1,19,10316212,10333548
RASA1,5,87267778,87391939
SLC9A9,3,143265222,143848485
LRRTM2,5,138868921,138875368
GATAD1,7,92447482,92460075
CPLX2,5,175796306,175884022
CUZD1,10,122832158,122846175
OPN1MW2,X,154219756,154233286
SYN3,22,32507820,33058381
SEC23IP,10,119892686,119944657
RPS8,1,44775251,44778779
GRIN3A,9,101569352,101738647
POLR2L,11,837356,842561
ZNF268,12,133181409,133214832
CCDC71L,7,106654360,106661158
ABR,17,1003519,1229738
NPIPA7,16,16371207,16393972
NGLY1,3,25718717,25790039
PPIF,10,79347466,79355337
DSCAML1,11,117427772,117817525
GIN1,5,103086000,103120226
KLF15,3,126342635,126357458
RGS2,1,192809039,192812275
F8A3,X,155456914,155458620
MAP3K7,6,90513573,90587093
NUTM1,15,34343315,34357737
ADAMTS20,12,43352771,43552203
VIPAS39,14,77426675,77457952
NEURL2,20,45888625,45891208
TRIM32,9,116687305,116701300
PRDM5,4,120684919,120923089
WDR62,19,36054649,36105108
RANBP2,2,108719437,108785810
TMEM151B,6,44270450,44307506
PHF1,6,33410382,33416453
OR10D3,11,124183345,124188780
CCNI2,5,132747319,132754403
DENND4C,9,19230435,19374281
CT45A2,X,135811668,135820012
KIF15,3,44761721,44873376
TG,8,132866958,133134903
FERMT3,11,64205926,64223896
UBAC1,9,135932403,135961387
CYP4B1,1,46757838,46819413
CTNNBL1,20,37694030,37872129
TGFBR2,3,30606478,30694249
MYO7A,11,77128245,77215241
ZKSCAN3,6,28349911,28369172
SELENOM,22,31104772,31120069
SMAP2,1,40344850,40423326
OTX2,14,56799905,56816693
NAT9,17,74770522,74776384
LYST,1,235661041,235883724
SSX3,X,48346427,48356707
PSMB11,14,23042212,23044060
AP1G1,16,71729000,71809201
LILRA5,19,54307041,54313166
RAB8A,19,16111843,16134234
BOK,2,241551300,241574568
FBXW4,10,101610663,101695295
KCTD2,17,75032575,75065889
TMEM60,7,77793728,77799484
IPO5,13,97953658,98024296
GPNMB,7,23235967,23275108
MXD1,2,69897688,69942945
ITGA11,15,68296532,68432191
SPATA3,2,230990324,231025055
ZNF695,1,246945547,247008093
RUBCNL,13,46334681,46438190
APEH,3,49673981,49683971
RESP18,2,219327407,219335552
GLOD4,17,757097,782341
MSTO1,1,155563235,155616511
DCSTAMP,8,104339087,104356689
RNF44,5,176526700,176538025
HSPG2,1,21822244,21937310
GPR32,19,50770464,50771732
GNB1,1,1785285,1892292
SYCE3,22,50551112,50562919
ITPR3,6,33620365,33696574
KCNJ13,2,232765802,232776565
INTS5,11,62646848,62653302
AKIRIN2,6,87674860,87702255
MYH6,14,23381576,23408945
RBM34,1,235131183,235161293
ZNF577,19,51804816,51890950
LAMB4,7,108023548,108130361
GRIN1,9,137138346,137168756
SPRY3,X,155612298,155782459
MOGAT2,11,75717838,75732963
IL1R2,2,101991824,102029018
LRRC18,10,48909480,48939840
ZC3H12A,1,37474496,37484379
OR51E2,11,4680171,4697854
ZNF554,19,2819868,2836735
CPSF2,14,92121512,92172145
BANK1,4,101411286,102074812
EN1,2,118842171,118847648
SLC37A1,21,42495994,42581440
FAM221B,9,35816391,35828747
CLK3,15,74598500,74645414
NTSR2,2,11658178,11670195
NLGN1,3,173396284,174294372
WDR18,19,984294,998438
PCGF5,10,91162339,91284337
POLD2,7,44114631,44124407
TEX46,1,23010834,23019100
ACRBP,12,6638075,6647433
ADORA3,1,111499429,111503633
EXOSC10,1,11066613,11099898
H4C1,6,26021649,26022847
NPHS1,19,35825372,35869287
RGPD6,2,110513802,110610840
ACO1,9,32384603,32454769
CLCA1,1,86468368,86501400
ARHGEF10L,1,17539368,17697876
NUMB,14,73274146,73466167
INHBE,12,57452323,57459280
ADI1,2,3497366,3519559
TRIM51,11,55883297,55891810
RHOB,2,20447074,20449440
CHRFAM7A,15,30360566,30393858
TOPORS,9,32540544,32552603
ZNF696,8,143289676,143299952
DCAF6,1,167935783,168076223
TP53I11,11,44885903,44951306
GPAA1,8,144082337,144093149
ZIK1,19,57578456,57593890
FNIP1,5,131641714,131797017
TMBIM4,12,66135846,66170027
NUP37,12,102073103,102120120
SLC2A4,17,7281667,7289241
HSF5,17,58420167,58488408
PSG4,19,43192702,43207299
TGOLN2,2,85318027,85328251
GORASP2,2,170928464,170967135
WWTR1,3,149517235,149736714
GCC2,2,108449107,108509415
GCNT2,6,10492223,10629368
ZNF479,7,57117676,57139864
MAGEA6,X,152766136,152769716
HS6ST2,X,132626015,132961395
ANKEF1,20,9986126,10058303
DGKH,13,42040036,42256578
LRATD1,2,14632700,14650814
SECISBP2,9,89318460,89363633
MRPL2,6,43054029,43059449
SH3GL1,19,4360367,4400547
TRAF5,1,211326325,211375036
VPS16,20,2840689,2866800
DUSP15,20,31847637,31870664
DDHD1,14,53036745,53153353
MON2,12,62466799,62600476
TP53TG3F,16,33459612,33462249
RBM22,5,150690792,150701077
HMGCR,5,75336329,75364241
CT47A7,X,120953282,120956600
EFNB2,13,106489745,106535662
RASSF1,3,50329782,50340980
AMD1,6,110874770,110898879
ZXDB,X,57592011,57597477
SH2D4A,8,19313693,19396695
ZNF177,19,9363013,9382617
ZKSCAN2,16,25236001,25257845
NOX4,11,89324353,89498187
ZBTB17,1,15940403,15976132
MAGEA10,X,152133310,152138578
PHOX2B,4,41744082,41748725
DCDC2B,1,32209079,32216196
SHANK2,11,70467805,71252844
DEFB107B,8,7495911,7509311
OR11H7,14,20229402,20230346
MINDY4B,3,150870376,150905439
ASTE1,3,131013066,131027649
CELSR1,22,46360834,46537620
MORC2,22,30925130,30969082
RPL39L,3,187120927,187180972
DSEL,18,67506587,67516723
PRKAR2A,3,48744591,48847874
IFNG,12,68154768,68159740
MMP28,17,35756249,35795707
SPATA31A1,9,39355669,39361962
ASF1A,6,118894152,118909171
ABRA,8,106759483,106770244
STON2,14,81260652,81436517
CLDN17,21,30165565,30166805
KCNN1,19,17947484,18000085
TMEM255A,X,120258650,120311556
RALA,7,39623445,39708124
CYP2U1,4,107931531,107953465
HHIPL2,1,222522258,222548104
SFN,1,26863149,26864456
TDRD9,14,103928456,104052667
EFNA5,5,107376894,107670937
CARNMT1,9,74980790,75028437
CPXM2,10,123706207,123940267
TM2D3,15,101621444,101652391
AVP,20,3082556,3084724
OR2V2,5,181147586,181159285
SLC9A5,16,67237683,67272191
SET,9,128683424,128696400
PAF1,19,39385629,39391154
CYP2A13,19,41088451,41096195
NPY2R,4,155208636,155217078
KRTAP21-3,21,30718525,30718777
FREM3,4,143577302,143700675
LY6G5B,6,31669976,31673776
RHEBL1,12,49064676,49070039
MFHAS1,8,8783354,8893630
FAM117A,17,49710332,49789180
SLC52A2,8,144333957,144361447
FBXO24,7,100583982,100601117
CCDC70,13,51861969,51866232
TBC1D3G,17,36323884,36334759
PCCA,13,100089015,100530437
OR2T8,1,247920252,247923152
DDX11,12,31073282,31104811
BBS4,15,72686186,72742006
PLPP3,1,56494761,56645301
SIT1,9,35649288,35650963
CD96,3,111292719,111665996
SNRPG,2,70281362,70293740
NBPF14,1,148531385,148679742
PIP5K1B,9,68705190,69009191
MYCBPAP,17,50508409,50531501
HLA-DMB,6,32934629,32941054
